run_name,protocol,num_clients,alpha,seed,rounds,split_point,run_id,final_round,final_auprc,final_auroc,final_f1,final_precision,final_recall,final_bmr_risk,final_bmr_f1,final_elapsed_time,final_round_time,final_activation_comm_mb,auprc_per_second,f1_per_second,auprc_per_comm_mb,f1_per_comm_mb,round_to_auprc_0.75,time_to_auprc_0.75,comm_to_auprc_0.75_mb,round_to_auprc_0.8,time_to_auprc_0.8,comm_to_auprc_0.8_mb,round_to_auprc_0.85,time_to_auprc_0.85,comm_to_auprc_0.85_mb,round_to_f1_0.75,time_to_f1_0.75,round_to_f1_0.8,time_to_f1_0.8
splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,splitfedv1,2,0.5,10,50,block1_run26228,,50,0.7597695195276873,0.9653726393259152,0.7581699346405227,0.7435897435897436,0.7733333333333333,0.0226466767318563,0.5526315789473685,295.1395075321197,2.545405626296997,5562.6220703125,0.00257427250550319,0.0025688527468929654,0.00013658478140777316,0.00013629722189591965,1,3.456225872039795,111.25244140625,9.0,51.15315818786621,1001.27197265625,,,,1,3.456225872039795,1.0,3.456225872039795
splitfedv1_c2_alpha0.5_seed30_r50_splitblock1_run26234,splitfedv1,2,0.5,30,50,block1_run26234,,50,0.8090326735510032,0.942810952707414,0.7971014492753622,0.8730158730158731,0.7333333333333333,0.0300551244689442,0.8000000000000002,321.76715087890625,2.893270969390869,5562.6220703125,0.0025143420369081564,0.002477261731342312,0.00014544088441110882,0.00014329599228562768,3,17.00342035293579,333.75732421875,9.0,55.97664761543274,1001.27197265625,,,,1,4.009420871734619,1.0,4.009420871734619
splitfedv1_c3_alpha0.5_seed10_r50_splitblock1_run26230,splitfedv1,3,0.5,10,50,block1_run26230,,50,0.797983459870971,0.9329353513690885,0.7832167832167832,0.8235294117647058,0.7466666666666667,0.0284751237667216,0.7564102564102563,344.30974769592285,3.303098440170288,5562.6220703125,0.00231763249577154,0.0022747447275541007,0.0001434545525085693,0.00014079992732146608,1,4.203487873077393,111.25244140625,6.0,38.74756836891174,667.5146484375,,,,1,4.203487873077393,1.0,4.203487873077393
splitfedv1_c3_alpha0.5_seed30_r50_splitblock1_run26236,splitfedv1,3,0.5,30,50,block1_run26236,,50,0.7961173827815786,0.95390827429817,0.7891156462585035,0.8055555555555555,0.7733333333333333,0.0289842351041044,0.6378378378378379,315.4738984107971,2.690161943435669,5562.6220703125,0.0025235602273025685,0.0025013658823556605,0.0001431190853375473,0.00014186037381003886,5,29.146936416625977,556.26220703125,32.0,201.0318508148193,3560.078125,,,,1,3.629172563552856,1.0,3.629172563552856
splitfedv1_c4_alpha0.1_seed10_r50_splitblock1_run26181,splitfedv1,4,0.1,10,50,block1_run26181,,50,0.7871921175861273,0.9722578679370212,0.8111888111888111,0.8529411764705882,0.7733333333333333,0.0306169024964011,0.655367231638418,3852.435436964035,3.635332584381104,6550.28857421875,0.00020433622586715818,0.00021056519297000333,0.00012017670804373918,0.000123840163986296,1,4.469398498535156,111.25244140625,2.0,26.92291283607483,222.5048828125,,,,2,26.92291283607483,2.0,26.92291283607483
splitfedv1_c4_alpha0.1_seed20_r50_run25546,splitfedv1,4,0.1,20,50,unknown,25546.0,50,0.8082202717116402,0.9741738299904488,0.8175182481751825,0.9032258064516128,0.7466666666666667,0.0288437905972402,0.6666666666666666,355.2979919910431,2.2312991619110107,5562.6220703125,0.0022747673500277342,0.0023009368659640266,0.00014529483784725926,0.00014696634749612882,1,3.3230583667755127,111.25244140625,1.0,3.3230583667755127,111.25244140625,,,,1,3.3230583667755127,2.0,10.532651901245115
splitfedv1_c4_alpha0.5_seed10_r50_splitblock1_run26168,splitfedv1,4,0.5,10,50,block1_run26168,,50,0.7828146863889627,0.8853683032444437,0.8201438848920863,0.890625,0.76,0.0317404585513149,0.8142857142857143,384.6344749927521,3.071353912353516,5562.6220703125,0.0020352171666455894,0.002132268265624242,0.00014072764183761728,0.0001474383617159905,1,4.023206472396851,111.25244140625,,,,,,,1,4.023206472396851,1.0,4.023206472396851
splitfedv1_c4_alpha0.5_seed10_r50_splitblock1_run26204,splitfedv1,4,0.5,10,50,block1_run26204,,50,0.7858877912720669,0.928076361910454,0.8057553956834532,0.875,0.7466666666666667,0.0300726800323022,0.7945205479452054,390.1287240982056,3.11524510383606,5562.6220703125,0.0020144320136607995,0.0020653577804248618,0.00014128009800743426,0.00014485172379114856,1,4.040534734725952,111.25244140625,,,,,,,1,4.040534734725952,1.0,4.040534734725952
splitfedv1_c4_alpha0.5_seed10_r50_splitblock1_run26232,splitfedv1,4,0.5,10,50,block1_run26232,,50,0.7809341324273649,0.9282705480455404,0.8201438848920863,0.890625,0.76,0.031810680804747,0.7916666666666666,389.6603531837464,3.12701416015625,5562.6220703125,0.0020041405958976565,0.0021047660563643313,0.00014038957213994104,0.0001474383617159905,1,4.051396131515503,111.25244140625,,,,,,,1,4.051396131515503,1.0,4.051396131515503
splitfedv1_c4_alpha0.5_seed10_r50_splitblock2_run26171,splitfedv1,4,0.5,10,50,block2_run26171,,50,0.7837886083333048,0.9183293195281874,0.8057553956834532,0.875,0.7466666666666667,0.0317755696780309,0.8028169014084509,351.63712430000305,2.9572741985321045,2781.31103515625,0.002228970020994163,0.002291440067050526,0.00028180545017298747,0.0002897034475822971,1,3.8899357318878174,55.626220703125,7.0,46.40728163719177,389.383544921875,,,,1,3.8899357318878174,1.0,3.8899357318878174
