timestamp,benchmark,job_id,protocol,num_clients,alpha,seed,split_point,rounds,state,exit_code,elapsed,slurm_out,server_log,client_logs
Mon May  4 02:45:57 +03 2026,main_benchmark,26192,splitfedv1,4,100,10,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26192.out,server_26192.log," client0_26192.log client1_26192.log client2_26192.log client3_26192.log"
Mon May  4 02:52:08 +03 2026,main_benchmark,26192,splitfedv1,4,100,10,block1,50,COMPLETED,0:0,00:05:46,cc_sfl_4c_26192.out,server_26192.log," client0_26192.log client1_26192.log client2_26192.log client3_26192.log"
Mon May  4 02:52:08 +03 2026,main_benchmark,26193,splitfedv2,4,100,10,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26193.out,server_26193.log," client0_26193.log client1_26193.log client2_26193.log client3_26193.log"
Mon May  4 02:58:19 +03 2026,main_benchmark,26193,splitfedv2,4,100,10,block1,50,COMPLETED,0:0,00:05:45,cc_sfl_4c_26193.out,server_26193.log," client0_26193.log client1_26193.log client2_26193.log client3_26193.log"
Mon May  4 02:58:19 +03 2026,main_benchmark,26194,splitfedv1,4,100,10,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26194.out,server_26194.log," client0_26194.log client1_26194.log client2_26194.log client3_26194.log"
Mon May  4 03:04:30 +03 2026,main_benchmark,26194,splitfedv1,4,100,10,block2,50,COMPLETED,0:0,00:05:06,cc_sfl_4c_26194.out,server_26194.log," client0_26194.log client1_26194.log client2_26194.log client3_26194.log"
Mon May  4 03:04:30 +03 2026,main_benchmark,26195,splitfedv2,4,100,10,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26195.out,server_26195.log," client0_26195.log client1_26195.log client2_26195.log client3_26195.log"
Mon May  4 03:10:40 +03 2026,main_benchmark,26195,splitfedv2,4,100,10,block2,50,COMPLETED,0:0,00:05:01,cc_sfl_4c_26195.out,server_26195.log," client0_26195.log client1_26195.log client2_26195.log client3_26195.log"
Mon May  4 03:10:40 +03 2026,main_benchmark,26196,splitfedv1,4,100,10,block3,50,SUBMITTED,NA,NA,cc_sfl_4c_26196.out,server_26196.log," client0_26196.log client1_26196.log client2_26196.log client3_26196.log"
Mon May  4 03:15:51 +03 2026,main_benchmark,26196,splitfedv1,4,100,10,block3,50,COMPLETED,0:0,00:04:38,cc_sfl_4c_26196.out,server_26196.log," client0_26196.log client1_26196.log client2_26196.log client3_26196.log"
Mon May  4 03:15:51 +03 2026,main_benchmark,26197,splitfedv2,4,100,10,block3,50,SUBMITTED,NA,NA,cc_sfl_4c_26197.out,server_26197.log," client0_26197.log client1_26197.log client2_26197.log client3_26197.log"
Mon May  4 03:21:02 +03 2026,main_benchmark,26197,splitfedv2,4,100,10,block3,50,COMPLETED,0:0,00:04:36,cc_sfl_4c_26197.out,server_26197.log," client0_26197.log client1_26197.log client2_26197.log client3_26197.log"
Mon May  4 03:21:02 +03 2026,main_benchmark,26198,splitfedv1,4,1.0,10,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26198.out,server_26198.log," client0_26198.log client1_26198.log client2_26198.log client3_26198.log"
Mon May  4 03:28:12 +03 2026,main_benchmark,26198,splitfedv1,4,1.0,10,block1,50,COMPLETED,0:0,00:06:30,cc_sfl_4c_26198.out,server_26198.log," client0_26198.log client1_26198.log client2_26198.log client3_26198.log"
Mon May  4 03:28:12 +03 2026,main_benchmark,26199,splitfedv2,4,1.0,10,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26199.out,server_26199.log," client0_26199.log client1_26199.log client2_26199.log client3_26199.log"
Mon May  4 03:35:23 +03 2026,main_benchmark,26199,splitfedv2,4,1.0,10,block1,50,COMPLETED,0:0,00:06:30,cc_sfl_4c_26199.out,server_26199.log," client0_26199.log client1_26199.log client2_26199.log client3_26199.log"
Mon May  4 03:35:23 +03 2026,main_benchmark,26200,splitfedv1,4,1.0,10,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26200.out,server_26200.log," client0_26200.log client1_26200.log client2_26200.log client3_26200.log"
Mon May  4 03:41:34 +03 2026,main_benchmark,26200,splitfedv1,4,1.0,10,block2,50,COMPLETED,0:0,00:05:56,cc_sfl_4c_26200.out,server_26200.log," client0_26200.log client1_26200.log client2_26200.log client3_26200.log"
Mon May  4 03:41:34 +03 2026,main_benchmark,26201,splitfedv2,4,1.0,10,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26201.out,server_26201.log," client0_26201.log client1_26201.log client2_26201.log client3_26201.log"
Mon May  4 03:47:45 +03 2026,main_benchmark,26201,splitfedv2,4,1.0,10,block2,50,COMPLETED,0:0,00:05:55,cc_sfl_4c_26201.out,server_26201.log," client0_26201.log client1_26201.log client2_26201.log client3_26201.log"
Mon May  4 03:47:45 +03 2026,main_benchmark,26202,splitfedv1,4,1.0,10,block3,50,SUBMITTED,NA,NA,cc_sfl_4c_26202.out,server_26202.log," client0_26202.log client1_26202.log client2_26202.log client3_26202.log"
Mon May  4 03:53:55 +03 2026,main_benchmark,26202,splitfedv1,4,1.0,10,block3,50,COMPLETED,0:0,00:05:28,cc_sfl_4c_26202.out,server_26202.log," client0_26202.log client1_26202.log client2_26202.log client3_26202.log"
